epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1591.18,1.1144,1.89965,0.00729,0.90737,0.89357,0.94354,0.72731,1.03201,1.63377,0.01138,0.000540037,0.000540037,0.000540037
43,1632.46,1.13491,1.94702,0.00717,0.91432,0.89558,0.94104,0.72796,1.03748,1.62766,0.0113,0.000531038,0.000531038,0.000531038
44,1673.93,1.12958,1.89718,0.00705,0.89983,0.89263,0.94256,0.72136,1.05136,1.66096,0.01206,0.000522039,0.000522039,0.000522039
45,1714.87,1.12543,1.8994,0.00703,0.91842,0.88094,0.94085,0.72458,1.03948,1.60438,0.01134,0.00051304,0.00051304,0.00051304
46,1755.35,1.12992,1.88635,0.00715,0.9257,0.87735,0.94809,0.73162,1.02784,1.57929,0.01146,0.00050404,0.00050404,0.00050404
47,1795.74,1.08793,1.83608,0.00721,0.90316,0.89101,0.94357,0.72109,1.03843,1.591,0.0116,0.000495041,0.000495041,0.000495041
48,1835.87,1.13352,1.86379,0.00687,0.93638,0.88849,0.94541,0.72606,1.04597,1.56989,0.01171,0.000486042,0.000486042,0.000486042
49,1876.76,1.08133,1.73103,0.00695,0.91147,0.89741,0.93611,0.72219,1.02283,1.63559,0.0114,0.000477043,0.000477043,0.000477043
50,1916.97,1.11665,1.8254,0.00681,0.92037,0.90282,0.94701,0.7397,1.00935,1.56697,0.011,0.000468044,0.000468044,0.000468044
51,1956.69,1.10536,1.81948,0.00686,0.89656,0.90591,0.94267,0.72676,1.02138,1.62544,0.01115,0.000459045,0.000459045,0.000459045
52,1997.35,1.09339,1.78041,0.00681,0.92101,0.88929,0.94809,0.73427,1.01745,1.59905,0.01108,0.000450046,0.000450046,0.000450046
53,2037.35,1.07398,1.74234,0.00684,0.92389,0.8922,0.9452,0.73847,1.00018,1.54834,0.01091,0.000441047,0.000441047,0.000441047
54,2077.62,1.11267,1.79404,0.00687,0.92013,0.8762,0.94277,0.73589,1.01036,1.58684,0.01064,0.000432048,0.000432048,0.000432048
